Program_and_Plan,Level,section,id
"Liberal Arts & Sciences - Anthropology & Human Biology/Women's, Gender & Sex. Studies",Senior,LE1,B14AE9
Liberal Arts & Sciences - Psychology/Film Studies,Junior,LE1,B15582
Liberal Arts & Sciences - Music/Biology,Senior,LE1,AFEF76
Liberal Arts & Sciences - English & Creative Writing,Senior,LE1,B3D2E4
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Junior,LE1,851548
Liberal Arts & Sciences - Music,Sophomore,LE1,B3B6C7
Liberal Arts & Sciences - Religion/Psychology,Junior,LE1,85225D
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Sophomore,LE1,B2C542
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Sophomore,LE1,B37B78
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Freshman,LE1,8512C9
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Freshman,LE1,850BC2
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Freshman,LE1,851CA5
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Sophomore,LE1,B00230
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Sophomore,LE1,851E9E
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Freshman,LE1,851221
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Freshman,LE1,851AF3
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Freshman,LE1,852392
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Freshman,LE1,851087
