Program_and_Plan,Level,section,id
Liberal Arts & Sciences - English & Creative Writing/Sociology,Senior,LE11,85119F
"Liberal Arts & Sciences - Mathematics, Applied/Economics",Senior,LE11,B13985
Liberal Arts & Sciences - Anthropology & Human Biology/African American Studies,Sophomore,LE11,851DEF
Liberal Arts & Sciences - Biology,Senior,LE11,882E49
Liberal Arts & Sciences - Neuroscience & Behav Biology/German Studies,Senior,LE11,AFEF0D
Liberal Arts & Sciences - Biology,Junior,LE11,B12291
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Junior,LE11,8543B4
Liberal Arts & Sciences - Economics,Junior,LE11,8519D3
Liberal Arts & Sciences - Economics/Sociology,Senior,LE11,B00234
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Freshman,LE11,85199E
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Freshman,LE11,851076
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Sophomore,LE11,B2BDD4
Liberal Arts & Sciences - Biology,Sophomore,LE11,B4F744
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Freshman,LE11,852399
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Freshman,LE11,85106B
Liberal Arts & Sciences - Neuroscience & Behav Biology,Freshman,LE11,85204E
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Sophomore,LE11,8513EA
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Sophomore,LE11,B11FDE
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Sophomore,LE11,852396
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Sophomore,LE11,851436
