Program_and_Plan,Level,section,id
Liberal Arts & Sciences - Biology,Senior,LE10,B0B86A
Liberal Arts & Sciences - Political Science/Educational Studies,Sophomore,LE10,B14ABC
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Junior,LE10,B3A07C
Liberal Arts & Sciences - Biology,Senior,LE10,851427
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Sophomore,LE10,B2E747
Liberal Arts & Sciences - Psychology/Visual Arts,Junior,LE10,B14CD1
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Sophomore,LE10,85250C
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Sophomore,LE10,883EB1
Bachelor of Business Admin - Business Administration,Junior,LE10,B14C8E
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Sophomore,LE10,B37E13
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Sophomore,LE10,85200A
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Freshman,LE10,851F18
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Sophomore,LE10,851B61
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Freshman,LE10,851A67
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Freshman,LE10,85237D
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Freshman,LE10,B37AEA
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Freshman,LE10,8511F4
