Program_and_Plan,Level,section,id
Non-Degree Graduate School - Special Standing Student,ND Grad,LE2,B141FB
Liberal Arts & Sciences - Neuroscience & Behav Biology/Music,Senior,LE2,B0B86F
Liberal Arts & Sciences - Biology/Sociology,Senior,LE2,AFAC94
Liberal Arts & Sciences - Music,Junior,LE2,B13F64
Liberal Arts & Sciences - Computer Science,Senior,LE2,AFEF47
"Liberal Arts & Sciences - Mathematics, Applied/Economics",Senior,LE2,B00213
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Sophomore,LE2,B4F756
Liberal Arts & Sciences - Neuroscience & Behav Biology,Sophomore,LE2,B2A071
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Freshman,LE2,8511F1
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Sophomore,LE2,B4F6DE
Liberal Arts & Sciences - Philosophy,Junior,LE2,85171B
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Sophomore,LE2,8508BA
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Sophomore,LE2,852040
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Freshman,LE2,8828CB
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Freshman,LE2,851877
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Freshman,LE2,850764
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Sophomore,LE2,852508
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Sophomore,LE2,8549BB
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Freshman,LE2,851FEE
Liberal Arts & Sciences - Sociology,Sophomore,LE2,B11FF4
