Program_and_Plan,Level,section,id
Liberal Arts & Sciences - Neuroscience & Behav Biology,Senior,LE5,B1196D
Liberal Arts & Sciences - Biology/English & Creative Writing,Senior,LE5,AFF607
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Sophomore,LE5,8518DE
Liberal Arts & Sciences - Chemistry/Physics,Senior,LE5,AFF646
Liberal Arts & Sciences - Sociology/Media Studies,Senior,LE5,882918
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Freshman,LE5,850DA6
Liberal Arts & Sciences - Neuroscience & Behav Biology,Sophomore,LE5,AFF62D
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Sophomore,LE5,B14925
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Sophomore,LE5,B4F66B
Liberal Arts & Sciences - Biology/Chinese Language & Literature,Sophomore,LE5,B13343
Liberal Arts & Sciences - Biology,Junior,LE5,B1EDD8
Liberal Arts & Sciences - Psychology,Sophomore,LE5,B1516F
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Sophomore,LE5,B2C2B7
Liberal Arts & Sciences - Biology,Sophomore,LE5,B2A06B
Liberal Arts & Sciences - Philosophy,Sophomore,LE5,B08339
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Sophomore,LE5,851C17
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Freshman,LE5,85231E
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Freshman,LE5,851B8D
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Freshman,LE5,8549AC
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Sophomore,LE5,8524F0
