Program_and_Plan,Level,section,id
Liberal Arts & Sciences - Neuroscience & Behav Biology/Religion,Senior,LE7,B3A10F
Liberal Arts & Sciences - Neuroscience & Behav Biology,Senior,LE7,B14921
Liberal Arts & Sciences - English,Senior,LE7,B3A130
Liberal Arts & Sciences - Neuroscience & Behav Biology,Junior,LE7,AFF61A
Liberal Arts & Sciences - Economics,Senior,LE7,B14CC7
Liberal Arts & Sciences - Biology/Sociology,Senior,LE7,B3B4BD
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Freshman,LE7,8510A5
Liberal Arts & Sciences - Sociology,Sophomore,LE7,B2E71A
"Liberal Arts & Sciences - Biology/Global Hlth, Culture & Society",Junior,LE7,B2BDE0
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Freshman,LE7,852474
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Freshman,LE7,85118E
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Freshman,LE7,851F66
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Freshman,LE7,85171C
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Freshman,LE7,852037
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Freshman,LE7,850D9A
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Freshman,LE7,851AFF
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Freshman,LE7,8829FD
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Junior,LE7,B14912
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Freshman,LE7,85139A
