Program_and_Plan,Level,section,id
Liberal Arts & Sciences - Chemistry,Senior,LE8,B14AEE
Liberal Arts & Sciences - Biology,Senior,LE8,B0B88C
Liberal Arts & Sciences - Neuroscience & Behav Biology,Junior,LE8,B160D1
"Liberal Arts & Sciences - Human Health/Global Hlth, Culture & Society",Sophomore,LE8,B2C2A5
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Sophomore,LE8,8513C8
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Junior,LE8,8512CE
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Sophomore,LE8,851E49
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Sophomore,LE8,8524DE
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Sophomore,LE8,B2BDB5
Liberal Arts & Sciences - Neuroscience & Behav Biology,Sophomore,LE8,B3A125
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Freshman,LE8,851EB0
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Sophomore,LE8,AFF638
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Freshman,LE8,85488C
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Freshman,LE8,B7CB43
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Freshman,LE8,851C16
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Freshman,LE8,85189D
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Freshman,LE8,8519C8
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Freshman,LE8,85152D
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Sophomore,LE8,851E55
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Freshman,LE8,851EBA
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Freshman,LE8,85235F
