Program_and_Plan,Level,section,id
Liberal Arts & Sciences - Anthropology,Senior,LE4,AD50CA
Liberal Arts & Sciences - Biology/Economics,Senior,LE4,B3A089
Liberal Arts & Sciences - Neuroscience & Behav Biology,Junior,LE4,8824D0
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Junior,LE4,B4F648
Liberal Arts & Sciences - French Studies,Sophomore,LE4,852269
Liberal Arts & Sciences - Biology,Junior,LE4,B3B85A
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Freshman,LE4,852389
Liberal Arts & Sciences - Neuroscience & Behav Biology/French Studies,Junior,LE4,B4F733
Liberal Arts & Sciences - Human Health/Dance & Movement Studies,Sophomore,LE4,85239C
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Sophomore,LE4,851DE3
Liberal Arts & Sciences - Human Health/Sociology,Sophomore,LE4,B3A0FE
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Junior,LE4,B141FC
Liberal Arts & Sciences - Neuroscience & Behav Biology,Senior,LE4,88320C
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Freshman,LE4,851B08
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Freshman,LE4,851439
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Sophomore,LE4,B37B0B
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Freshman,LE4,85188F
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Sophomore,LE4,852504
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Freshman,LE4,85150B
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Freshman,LE4,851C14
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Freshman,LE4,8534D2
