Program_and_Plan,Level,section,id
"Liberal Arts & Sciences - Biology/Women's, Gender & Sex. Studies",Junior,LE9,B1201B
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Junior,LE9,B37E1B
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Sophomore,LE9,851D9E
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Junior,LE9,B2C2A2
Liberal Arts & Sciences - Neuroscience & Behav Biology,Sophomore,LE9,B4F708
Liberal Arts & Sciences - Music,Sophomore,LE9,B2BDB7
Liberal Arts & Sciences - Neuroscience & Behav Biology/Music,Junior,LE9,B1516C
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Sophomore,LE9,852014
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Freshman,LE9,85154A
Liberal Arts & Sciences - Economics,Senior,LE9,B2C545
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Freshman,LE9,8513DD
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Sophomore,LE9,8549B6
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Freshman,LE9,851CB0
Liberal Arts & Sciences - Psychology,Sophomore,LE9,851DEC
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Sophomore,LE9,851F1F
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Sophomore,LE9,851CD0
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Freshman,LE9,851C74
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Sophomore,LE9,851F1C
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Freshman,LE9,854888
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Freshman,LE9,852484
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Freshman,LE9,OF9CC5
