Program_and_Plan,Level,section,id
Liberal Arts & Sciences - Biology,Senior,LE3,B1586B
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Sophomore,LE3,B2C2E5
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Sophomore,LE3,B1491A
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Sophomore,LE3,B14201
Liberal Arts & Sciences - English/Psychology,Senior,LE3,B385C1
Liberal Arts & Sciences - English & Creative Writing,Sophomore,LE3,B15141
Liberal Arts & Sciences - Biology/Linguistics,Senior,LE3,B15584
Liberal Arts & Sciences - Music,Junior,LE3,B4F71D
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Sophomore,LE3,B4F760
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Sophomore,LE3,8513F9
Liberal Arts & Sciences - Psychology,Sophomore,LE3,8511A5
Liberal Arts & Sciences - International Studies/Sociology,Junior,LE3,B37B90
Liberal Arts & Sciences - Linguistics Major,Sophomore,LE3,B2C256
Liberal Arts & Sciences - Music,Junior,LE3,8828CE
Liberal Arts & Sciences - Biology,Junior,LE3,B2E722
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Junior,LE3,B13353
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Freshman,LE3,851DFC
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Sophomore,LE3,85073F
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Sophomore,LE3,852173
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Freshman,LE3,851DEA
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Sophomore,LE3,852003
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Freshman,LE3,851F91
