age,gender,height_m,weight_kg,seatbelt,ride_drunkdriver,drive_drunk,drive_text,carried_weapon,unsafe_school,bullied,sad,days_smoke,days_drink
17,male,1.55,88.91,most of the time,yes,0 times,0 days,no,no,no,yes,0,2
16,male,1.83,83.01,most of the time,no,0 times,0 days,no,no,no,no,0,0
17,male,1.9,136.99,most of the time,no,0 times,0 days,no,no,no,no,0,0
15,male,1.73,72.58,most of the time,no,0 times,0 days,no,no,no,no,0,0
15,female,1.8,88.45,sometimes,no,not drive,not drive,no,no,no,yes,0,3
16,female,1.73,68.95,most of the time,no,0 times,0 days,no,no,no,no,0,0
15,female,1.65,82.56,most of the time,no,0 times,0 days,no,no,no,yes,0,1
15,female,1.68,81.65,most of the time,yes,0 times,0 days,no,no,no,no,0,0
14,female,1.45,43.55,most of the time,yes,0 times,1 or 2 days,no,no,yes,yes,5,4
16,female,1.55,48.08,most of the time,no,0 times,0 days,no,no,no,no,0,0
15,female,1.57,48.99,rarely,yes,0 times,1 or 2 days,yes,no,no,yes,0,5
14,female,1.57,58.97,sometimes,no,not drive,not drive,no,yes,no,yes,0,0
15,female,1.6,56.7,always,no,0 times,0 days,no,yes,yes,yes,2,3
15,female,1.68,52.16,most of the time,no,0 times,0 days,no,no,no,no,0,0
15,male,1.68,63.05,sometimes,yes,0 times,0 days,no,no,no,no,0,0
14,male,1.68,70.31,sometimes,yes,not drive,not drive,no,no,no,no,0,0
15,male,1.73,74.84,always,yes,0 times,0 days,yes,no,no,no,0,8
16,male,1.73,60.78,always,no,not drive,not drive,no,no,no,no,0,0
14,male,1.63,54.43,sometimes,no,0 times,0 days,no,yes,no,yes,0,0
15,male,1.68,63.5,always,no,not drive,not drive,yes,no,no,no,0,0
15,female,1.63,64.41,sometimes,no,0 times,0 days,no,no,no,no,0,0
14,female,1.68,66.23,most of the time,no,not drive,not drive,no,yes,yes,yes,0,0
14,female,1.57,54.43,rarely,no,not drive,not drive,no,no,no,yes,0,0
15,female,1.7,68.04,most of the time,no,0 times,0 days,no,no,no,no,0,1
15,female,1.6,45.36,most of the time,yes,not drive,not drive,yes,no,no,no,0,0
15,female,1.57,62.6,most of the time,no,not drive,not drive,no,yes,yes,no,0,0
14,male,1.85,76.2,always,no,not drive,not drive,yes,no,no,no,0,5
15,male,1.73,61.24,most of the time,yes,not drive,not drive,yes,no,no,no,0,6
17,male,1.73,83.92,sometimes,no,0 times,0 days,yes,no,no,yes,0,0
15,male,1.68,46.27,most of the time,no,0 times,0 days,no,no,no,no,1,1
16,male,1.68,111.13,most of the time,no,0 times,1 or 2 days,no,no,no,yes,0,0
15,male,1.98,106.6,never,yes,0 times,0 days,no,no,no,no,0,0
16,male,1.93,102.06,always,no,not drive,not drive,no,no,no,no,0,0
