MAP  2.7   2011/01/03 09:36:42    59.490   -152.941  100.7   SOUTHERN ALASKA                          
MAP  4.6   2011/01/03 08:36:03    26.465    144.096  16.3   BONIN ISLANDS, JAPAN REGION               
MAP  2.8   2011/01/03 07:49:17    40.406   -123.799  29.9   NORTHERN CALIFORNIA                       
MAP  4.9   2011/01/03 07:06:29    27.327    143.362  27.3   BONIN ISLANDS, JAPAN REGION               
MAP  3.0   2011/01/03 05:32:59    59.224   -154.761  0.0   SOUTHERN ALASKA                            
MAP  4.9   2011/01/03 05:03:49   -38.600    -73.650  20.3   OFFSHORE ARAUCANIA, CHILE                 
MAP  2.5   2011/01/03 04:46:17    43.778    -71.555  9.6   NEW HAMPSHIRE                              
MAP  3.3   2011/01/03 01:36:03    59.269   -154.685  0.0   SOUTHERN ALASKA                            
MAP  4.8   2011/01/02 23:43:08   -38.323    -73.282  20.3   ARAUCANIA, CHILE                          
MAP  3.9   2011/01/02 22:40:12    40.317   -124.579  18.3   OFFSHORE NORTHERN CALIFORNIA              
MAP  5.0   2011/01/02 21:10:20   -38.042    -73.531  26.6   OFFSHORE BIO-BIO, CHILE                   
MAP  7.1   2011/01/02 20:20:18   -38.354    -73.275  25.1   ARAUCANIA, CHILE                          
MAP  2.9   2011/01/02 16:36:29    19.335   -155.276  36.6   ISLAND OF HAWAII, HAWAII                  
MAP  5.7   2011/01/02 15:19:31    -4.485    101.408  21.5   SOUTHERN SUMATRA, INDONESIA               
MAP  3.0   2011/01/02 15:17:20    18.972    -66.313  25.1   PUERTO RICO REGION                        
MAP  4.5   2011/01/02 14:11:34    13.378    -89.977  76.0   OFFSHORE EL SALVADOR                      
MAP  4.2   2011/01/02 13:14:21    36.657    43.277  38.3   IRAQ                                       
MAP  2.5   2011/01/02 12:34:34    35.533    -83.384  3.8   NORTH CAROLINA                             
MAP  2.6   2011/01/02 11:54:18    36.849   -121.436  6.2   CENTRAL CALIFORNIA                         
MAP  5.0   2011/01/02 09:32:56   -20.522    167.102  34.2   LOYALTY ISLANDS                           
MAP  5.1   2011/01/02 09:23:13   -59.215    -24.489  25.1   SOUTH SANDWICH ISLANDS REGION             
MAP  4.8   2011/01/02 07:04:50    26.986    143.708  10.0   BONIN ISLANDS, JAPAN REGION               
MAP  4.5   2011/01/02 06:23:59    36.291    68.778  37.7   HINDU KUSH REGION, AFGHANISTAN             
MAP  3.5   2011/01/02 06:00:36    40.358   -124.929  5.6   OFFSHORE NORTHERN CALIFORNIA               
MAP  4.2   2011/01/02 04:18:24    34.099    28.663  10.0   EASTERN MEDITERRANEAN SEA                  
MAP  5.0   2011/01/02 03:36:18    36.260    68.979  49.9   HINDU KUSH REGION, AFGHANISTAN             
MAP  2.5   2011/01/02 03:22:26    32.169   -115.254  10.0   BAJA CALIFORNIA, MEXICO                   
MAP  3.4   2011/01/02 00:08:15    19.340    -65.361  106.0   PUERTO RICO REGION                       
MAP  2.5   2011/01/01 23:59:11    17.947    -68.566  57.0   DOMINICAN REPUBLIC REGION                 
MAP  3.5   2011/01/01 23:57:24    38.833   -119.789  1.6   NORTHERN CALIFORNIA                        
MAP  5.3   2011/01/01 23:35:27   -19.224    167.841  30.0   VANUATU REGION                            
MAP  4.9   2011/01/01 23:33:43    24.543    97.963  52.7   MYANMAR-CHINA BORDER REGION                
MAP  2.7   2011/01/01 20:48:44    32.988   -116.355  10.3   SOUTHERN CALIFORNIA                       
MAP  2.8   2011/01/01 18:52:01    35.840    -96.925  5.0   OKLAHOMA                                   
MAP  2.7   2011/01/01 18:36:03    32.271   -115.401  5.8   BAJA CALIFORNIA, MEXICO                    
MAP  2.5   2011/01/01 16:44:14    51.272   -175.170  28.8   ANDREANOF ISLANDS, ALEUTIAN IS., ALASKA   
MAP  2.6   2011/01/01 16:37:52    52.793   -166.744  21.1   FOX ISLANDS, ALEUTIAN ISLANDS, ALASKA     
MAP  2.6   2011/01/01 11:42:06    51.123   -176.178  25.6   ANDREANOF ISLANDS, ALEUTIAN IS., ALASKA   
MAP  3.1   2011/01/01 11:01:20    51.080   -176.175  25.8   ANDREANOF ISLANDS, ALEUTIAN IS., ALASKA   
MAP  7.0   2011/01/01 09:56:58   -26.794    -63.079  576.8   SANTIAGO DEL ESTERO, ARGENTINA           
MAP  4.7   2011/01/01 07:32:04    24.606    98.029  21.4   MYANMAR-CHINA BORDER REGION                
MAP  3.6   2011/01/01 07:29:06    58.279   -137.957  12.1   SOUTHEASTERN ALASKA                       
MAP  2.5   2011/01/01 05:49:36    62.648   -151.304  89.9   CENTRAL ALASKA                            
MAP  2.7   2011/01/01 02:34:46    52.592   -169.125  13.4   FOX ISLANDS, ALEUTIAN ISLANDS, ALASKA     
MAP  2.7   2011/01/01 02:09:59    34.105   -116.942  6.1   SOUTHERN CALIFORNIA                        
MAP  5.2   2011/01/01 01:56:06    39.502    75.239  10.6   SOUTHERN XINJIANG, CHINA                   
MAP  4.6   2011/01/01 01:54:11    2.419    128.380  71.1   HALMAHERA, INDONESIA                       
MAP  2.8   2011/01/01 01:34:20    52.742   -169.296  9.0   FOX ISLANDS, ALEUTIAN ISLANDS, ALASKA      
MAP  3.2   2011/01/01 01:00:47    33.163   -115.638  1.5   SOUTHERN CALIFORNIA                        
MAP  2.5   2011/01/01 00:46:01    33.163   -115.634  1.1   SOUTHERN CALIFORNIA                        
MAP  3.5   2011/01/01 00:34:10    33.160   -115.644  1.8   SOUTHERN CALIFORNIA                        
MAP  2.6   2011/01/01 00:06:59    52.743   -166.656  3.1   FOX ISLANDS, ALEUTIAN ISLANDS, ALASKA      
MAP  3.2   2011/01/01 00:03:14    19.480    -68.743  10.0   DOMINICAN REPUBLIC REGION                 
MAP  4.9   2011/01/01 00:02:33    27.304    143.183  11.6   BONIN ISLANDS, JAPAN REGION               
MAP  5.1   2010/12/31 23:01:06    36.720    140.752  73.6   NEAR THE EAST COAST OF HONSHU, JAPAN      
MAP  4.8   2010/12/31 22:04:45    11.989    44.069  9.6   GULF OF ADEN                                
MAP  2.7   2010/12/31 19:23:54    51.400   -178.737  12.9   ANDREANOF ISLANDS, ALEUTIAN IS., ALASKA   
MAP  3.7   2010/12/31 19:00:39    58.188   -156.056  146.1   ALASKA PENINSULA                         
MAP  2.9   2010/12/31 18:44:03    31.214   -115.590  10.0   BAJA CALIFORNIA, MEXICO                   
MAP  3.9   2010/12/31 18:34:36    31.222   -115.631  4.2   BAJA CALIFORNIA, MEXICO                    
MAP  5.0   2010/12/31 18:18:50    15.105    -61.385  136.2   DOMINICA REGION, LEEWARD ISLANDS         
MAP  4.6   2010/12/31 18:09:34    12.067    44.117  11.4   NEAR THE COAST OF YEMEN                    
MAP  3.1   2010/12/31 17:59:33    32.256   -115.385  1.5   BAJA CALIFORNIA, MEXICO                    
MAP  2.7   2010/12/31 17:31:37    55.017   -153.545  32.9   SOUTH OF ALASKA                           
